<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
19.09.2018;110590;111090;110590;111070
19.09.2018;111070;111260;111040;111250
19.09.2018;111280;111310;110940;111100
19.09.2018;111120;111200;111060;111200
19.09.2018;111190;111200;111130;111190
19.09.2018;111180;111250;111150;111200
19.09.2018;111190;111270;111190;111250
19.09.2018;111250;111400;111250;111370
19.09.2018;110590;111090;110591;111070
19.09.2018;111070;111260;111040;111250
19.09.2018;111280;111310;110940;111100
19.09.2018;111120;111200;111060;111200
19.09.2018;111190;111200;111130;111190
19.09.2018;111180;111250;111150;111200
19.09.2018;111190;111270;111190;111250
19.09.2018;111250;111400;111250;111370
19.09.2018;110590;111090;110592;111070
19.09.2018;111070;111260;111040;111250
19.09.2018;111280;111310;110940;111100
19.09.2018;111120;111200;111060;111200
19.09.2018;111190;111200;111130;111190
19.09.2018;111180;111250;111150;111200
19.09.2018;111190;111270;111190;111250
19.09.2018;111250;111400;111250;111370
19.09.2018;110590;111090;110593;111070
19.09.2018;111070;111260;111040;111250
19.09.2018;111280;111310;110940;111100
19.09.2018;111120;111200;111060;111200
19.09.2018;111190;111200;111130;111190
19.09.2018;111180;111250;111150;111200
19.09.2018;111190;111270;111190;111250
19.09.2018;111250;111400;111250;111370
19.09.2018;110590;111090;110594;111070
19.09.2018;111070;111260;111040;111250
19.09.2018;111280;111310;110940;111100
19.09.2018;111120;111200;111060;111200
19.09.2018;111190;111200;111130;111190
19.09.2018;111180;111250;111150;111200
19.09.2018;111190;111270;111190;111250
19.09.2018;111250;111400;111250;111370
19.09.2018;110590;111090;110595;111070
19.09.2018;111070;111260;111040;111250
19.09.2018;111280;111310;110940;111100
19.09.2018;111120;111200;111060;111200
19.09.2018;111190;111200;111130;111190
19.09.2018;111180;111250;111150;111200
19.09.2018;111190;111270;111190;111250
19.09.2018;111250;111400;111250;111370
19.09.2018;110590;111090;110596;111070
19.09.2018;111070;111260;111040;111250
19.09.2018;111280;111310;110940;111100
19.09.2018;111120;111200;111060;111200
19.09.2018;111190;111200;111130;111190
19.09.2018;111180;111250;111150;111200
19.09.2018;111190;111270;111190;111250
19.09.2018;111250;111400;111250;111370
19.09.2018;110590;111090;110597;111070
19.09.2018;111070;111260;111040;111250
19.09.2018;111280;111310;110940;111100
19.09.2018;111120;111200;111060;111200
19.09.2018;111190;111200;111130;111190
19.09.2018;111180;111250;111150;111200
19.09.2018;111190;111270;111190;111250
19.09.2018;111250;111400;111250;111370
19.09.2018;110590;111090;110598;111070
19.09.2018;111070;111260;111040;111250
19.09.2018;111280;111310;110940;111100
19.09.2018;111120;111200;111060;111200
19.09.2018;111190;111200;111130;111190
19.09.2018;111180;111250;111150;111200
19.09.2018;111190;111270;111190;111250
19.09.2018;111250;111400;111250;111370
19.09.2018;110590;111090;110599;111070
19.09.2018;111070;111260;111040;111250
19.09.2018;111280;111310;110940;111100
19.09.2018;111120;111200;111060;111200
19.09.2018;111190;111200;111130;111190
19.09.2018;111180;111250;111150;111200
19.09.2018;111190;111270;111190;111250
19.09.2018;111250;111400;111250;111370
19.09.2018;110590;111090;110600;111070
19.09.2018;111070;111260;111040;111250
