?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
26F,0200,26F,0000,000,0000,000,0000,0000,004,0100
26F,0200,270,0200,26F,0200,000,026F,0000,004,0100
270,EE18,271,EE18,289,0000,000,0018,0000,004,0100,289,0000
271,AE14,272,AE14,286,2222,000,0014,2222,000,0000
272,0C00,273,0C00,7FF,2222,7FF,0272,2222,000,0000,7FF,2222
273,D666,666,D666,7FE,0274,7FE,D666,2222,000,0000,7FE,0274
666,AC01,667,AC01,7FF,2222,7FE,0001,2222,000,0000
667,F303,66B,F303,667,F303,7FE,0003,2222,000,0000
66B,0500,66C,0500,66B,2222,7FE,066B,4444,000,0000
66C,0500,66D,0500,66C,4444,7FE,066C,8888,00A,1010
66D,4C01,66E,4C01,7FF,2222,7FE,0001,AAAA,008,1000
66E,4E05,66F,4E05,674,0061,7FE,0005,AB0B,008,1000
66F,CE01,671,CE01,66F,0671,7FE,0001,AB0B,008,1000
671,EC01,672,EC01,7FF,AB0B,7FE,0001,AB0B,008,1000,7FF,AB0B
672,0A00,274,0A00,7FE,0274,7FF,0672,AB0B,008,1000
274,0800,275,0800,7FF,AB0B,000,0274,AB0B,008,1000
275,6E13,276,6E13,289,0000,000,0013,AB0B,009,1001
276,EE12,277,EE12,289,AB0B,000,0012,AB0B,009,1001,289,AB0B
277,AE0F,278,AE0F,287,2222,000,000F,2222,001,0001
278,0700,279,0700,278,0700,000,0278,2223,000,0000
279,0C00,27A,0C00,7FF,2223,7FF,0279,2223,000,0000,7FF,2223
27A,D666,666,D666,7FE,027B,7FE,D666,2223,000,0000,7FE,027B
666,AC01,667,AC01,7FF,2223,7FE,0001,2223,000,0000
667,F303,66B,F303,667,F303,7FE,0003,2223,000,0000
66B,0500,66C,0500,66B,2223,7FE,066B,4446,000,0000
66C,0500,66D,0500,66C,4446,7FE,066C,888C,00A,1010
66D,4C01,66E,4C01,7FF,2223,7FE,0001,AAAF,008,1000
66E,4E05,66F,4E05,674,0061,7FE,0005,AB10,008,1000
66F,CE01,671,CE01,66F,0671,7FE,0001,AB10,008,1000
671,EC01,672,EC01,7FF,AB10,7FE,0001,AB10,008,1000,7FF,AB10
672,0A00,27B,0A00,7FE,027B,7FF,0672,AB10,008,1000
27B,0800,27C,0800,7FF,AB10,000,027B,AB10,008,1000
27C,0740,27D,0740,27C,0740,000,027C,AB0F,009,1001
27D,4E0B,27E,4E0B,289,AB0B,000,000B,561A,003,0011
27E,EE0A,27F,EE0A,289,561A,000,000A,561A,003,0011,289,561A
27F,AE08,280,AE08,288,2222,000,0008,2222,001,0001
280,0C00,281,0C00,7FF,2222,7FF,0280,2222,001,0001,7FF,2222
281,D666,666,D666,7FE,0282,7FE,D666,2222,001,0001,7FE,0282
666,AC01,667,AC01,7FF,2222,7FE,0001,2222,001,0001
667,F303,66B,F303,667,F303,7FE,0003,2222,001,0001
66B,0500,66C,0500,66B,2222,7FE,066B,4444,000,0000
66C,0500,66D,0500,66C,4444,7FE,066C,8888,00A,1010
66D,4C01,66E,4C01,7FF,2222,7FE,0001,AAAA,008,1000
66E,4E05,66F,4E05,674,0061,7FE,0005,AB0B,008,1000
66F,CE01,671,CE01,66F,0671,7FE,0001,AB0B,008,1000
671,EC01,672,EC01,7FF,AB0B,7FE,0001,AB0B,008,1000,7FF,AB0B
672,0A00,282,0A00,7FE,0282,7FF,0672,AB0B,008,1000
282,0800,283,0800,7FF,AB0B,000,0282,AB0B,008,1000
283,6E05,284,6E05,289,561A,000,0005,54F1,003,0011
284,EE04,285,EE04,289,54F1,000,0004,54F1,003,0011,289,54F1
285,0100,286,0100,285,0100,000,0285,54F1,003,0011
